Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,41,101164,101164,655-667 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Bourke Armoury Cafe,"Part Ground , 655 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,6,144.95449312245,-37.817319972984464,"-37.817319972984464, 144.95449312245"
2008,41,101165,101165,669-675 Bourke Street MELBOURNE 3000,Melbourne (CBD),Chafs Cafe,"Ground , 669-671 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,8,144.9541002451,-37.817218393430295,"-37.817218393430295, 144.9541002451"
2008,41,105299,105299,131-137 King Street MELBOURNE 3000,Melbourne (CBD),Bergerac Restaurant,"Level 1, 131 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,90,144.95550485927924,-37.8170831236,"-37.8170831236, 144.95550485927924"
2008,41,105948,105948,582-584 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Brux Bar And Restaurant,582-584 Little Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,15,144.9553519104,-37.817418958437955,"-37.817418958437955, 144.9553519104"
2008,41,105948,105948,582-584 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Brux Bar And Restaurant,582-584 Little Collins Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.9553519104,-37.817418958437955,"-37.817418958437955, 144.9553519104"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),Cafenatics Espresso Bar,"Shop 18, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),Cafe Diy,"Shop 20, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,32,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),Cafe Pazzo,"Shop 15, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),St James Take Away Food,"Shop 13, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,38,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),Tengu Sushi Cafe,"Shop 16, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,20,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,110095,101155,121 William Street MELBOURNE 3000,Melbourne (CBD),Tengu Sushi Cafe,"Shop 16, 121 William Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.957813785292,-37.81636534875,"-37.81636534875, 144.957813785292"
2008,42,101158,101158,573-585 Bourke Street MELBOURNE 3000,Melbourne (CBD),My Ko Cafe,"Part Ground , 575 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,144.95666971675,-37.81651310953019,"-37.81651310953019, 144.95666971675"
2008,42,101158,101158,573-585 Bourke Street MELBOURNE 3000,Melbourne (CBD),My Ko Cafe,"Part Ground , 575 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,52,144.95666971675,-37.81651310953019,"-37.81651310953019, 144.95666971675"
2008,42,105390,105390,589-603 Bourke Street MELBOURNE 3000,Melbourne (CBD),Gloria Jean's Coffees,"Shop 1, Ground , 601 Bourke Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,28,144.95618282912488,-37.81652802855,"-37.81652802855, 144.95618282912488"
2008,42,105949,105949,538-542 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Gourmet Gulp,"Shop 1, 540 Little Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,6,144.9567679862,-37.816966676060304,"-37.816966676060304, 144.9567679862"
2008,42,105949,105949,538-542 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Caffe Q,"Shop 2, 540 Little Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,10,144.9567679862,-37.816966676060304,"-37.816966676060304, 144.9567679862"
2008,42,105949,105949,538-542 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Caffe Q,"Shop 2, 540 Little Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,8,144.9567679862,-37.816966676060304,"-37.816966676060304, 144.9567679862"
2008,42,105950,105950,520-536 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Skew'd,"Suite 608, 530-536 Little Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,20,144.9571099548624,-37.816879746249995,"-37.816879746249995, 144.9571099548624"
